FIPS,County
12000,Grand Total
12001,ALACHUA
12003,BAKER
12005,BAY
12007,BRADFORD
12009,BREVARD
12011,BROWARD
12013,CALHOUN
12015,CHARLOTTE
12017,CITRUS
12019,CLAY
12021,COLLIER
12023,COLUMBIA
12027,DESOTO
12027,DE SOTO
12029,DIXIE
12031,DUVAL
12033,ESCAMBIA
12035,FLAGLER
12037,FRANKLIN
12039,GADSDEN
12041,GILCHRIST
12043,GLADES
12045,GULF
12047,HAMILTON
12049,HARDEE
12051,HENDRY
12053,HERNANDO
12055,HIGHLANDS
12057,HILLSBOROUGH
12059,HOLMES
12061,INDIAN RIVER
12063,JACKSON
12065,JEFFERSON
12067,LAFAYETTE
12069,LAKE
12071,LEE
12073,LEON
12075,LEVY
12077,LIBERTY
12079,MADISON
12081,MANATEE
12083,MARION
12085,MARTIN
12086,MIAMI-DADE
12087,MONROE
12089,NASSAU
12091,OKALOOSA
12093,OKEECHOBEE
12095,ORANGE
12097,OSCEOLA
12099,PALM BEACH
12101,PASCO
12103,PINELLAS
12105,POLK
12107,PUTNAM
12109,ST. JOHNS
12109,ST JOHNS
12111,ST. LUCIE
12111,ST LUCIE
12113,SANTA ROSA
12115,SARASOTA
12117,SEMINOLE
12119,SUMTER
12121,SUWANNEE
12123,TAYLOR
12125,UNION
12127,VOLUSIA
12129,WAKULLA
12131,WALTON
12133,WASHINGTON