Date,Test,RCase_Incd,Pos,CRDeath,CRHosp,Death_Incd_DD,TPC,CPP,Death,Hosp,Case_ma7,Death_ma7,Hosp_ma7,Weekend
2020-03-18,1150,99,115,8,79,1,11.616161616161616,0.8608695652173913,1,18,NA,NA,NA,FALSE
2020-03-19,1172,76,82,9,97,2,15.421052631578947,0.926829268292683,2,20,NA,NA,NA,FALSE
2020-03-20,1540,142,162,11,117,2,10.845070422535212,0.8765432098765432,1,34,NA,NA,NA,FALSE
2020-03-21,2512,204,255,12,151,7,12.313725490196079,0.8,1,30,183.142857142857,2.14285714285714,37.7142857142857,TRUE
2020-03-22,2961,298,312,13,181,4,9.936241610738255,0.9551282051282052,5,28,240.571428571429,2.85714285714286,44.7142857142857,TRUE
2020-03-23,1830,177,221,18,209,5,10.338983050847459,0.8009049773755657,2,44,307.285714285714,5,55.1428571428571,FALSE
2020-03-24,3133,286,332,20,253,13,10.954545454545455,0.8614457831325302,3,90,382.857142857143,6.28571428571429,59.4285714285714,FALSE
2020-03-25,7371,501,551,23,343,20,14.7125748502994,0.9092558983666061,6,67,457.714285714286,6.71428571428571,64.5714285714286,FALSE
2020-03-26,6055,543,614,29,410,13,11.151012891344383,0.8843648208469055,17,93,543.142857142857,7.57142857142857,72.2857142857143,FALSE
2020-03-27,6657,671,729,46,503,19,9.921013412816691,0.9204389574759945,10,64,642.142857142857,9.28571428571429,86.2857142857143,FALSE
2020-03-28,6796,728,795,56,567,12,9.335164835164836,0.9157232704402516,4,66,735.142857142857,11.1428571428571,92.4285714285714,TRUE
2020-03-29,7755,896,1018,60,633,19,8.655133928571429,0.8801571709233792,11,82,812.428571428571,14.1428571428571,92.5714285714286,TRUE
2020-03-30,7471,870,1004,71,715,22,8.58735632183908,0.8665338645418327,14,142,918.571428571429,17.7142857142857,118.714285714286,FALSE
2020-03-31,8853,937,1062,85,857,31,9.448239060832444,0.8822975517890772,16,133,1009.42857142857,19.8571428571429,129,FALSE
2020-04-01,9188,1042,1195,101,990,31,8.817658349328214,0.8719665271966527,27,68,1071.57142857143,23,131.714285714286,FALSE
2020-04-02,13795,1286,1504,128,1058,35,10.72706065318818,0.8550531914893617,42,276,1053.85714285714,26.1428571428571,143.571428571429,FALSE
2020-04-03,11718,1307,1589,170,1334,30,8.96557000765111,0.8225298930144745,25,136,1099.42857142857,30.1428571428571,148.142857142857,FALSE
2020-04-04,13204,1163,1425,195,1470,36,11.353396388650044,0.8161403508771929,26,85,1114.85714285714,31.7142857142857,156,TRUE
2020-04-05,7636,772,921,221,1555,40,9.89119170984456,0.8382193268186754,33,165,1119.71428571429,34.7142857142857,177.142857142857,TRUE
2020-04-06,12001,1189,1402,254,1720,44,10.093355761143819,0.848074179743224,42,174,1086.85714285714,35.5714285714286,166,FALSE
2020-04-07,12577,1045,1238,296,1894,42,12.035406698564593,0.8441033925686591,27,188,1059.14285714286,35.8571428571429,162.428571428571,FALSE
2020-04-08,7062,1076,1288,323,2082,41,6.563197026022305,0.8354037267080745,48,216,1047.85714285714,34.2857142857143,159.571428571429,FALSE
2020-04-09,15469,1056,1303,371,2298,37,14.648674242424242,0.8104374520337683,48,198,1056.71428571429,35,160.142857142857,FALSE
2020-04-10,10616,1113,1399,419,2496,40,9.538185085354897,0.7955682630450321,27,111,1024.85714285714,32.5714285714286,145,FALSE
2020-04-11,12386,1084,1376,446,2607,37,11.42619926199262,0.7877906976744186,15,65,962,41.5714285714286,166.714285714286,TRUE
2020-04-12,9717,834,1044,461,2672,34,11.651079136690647,0.7988505747126436,38,169,940.857142857143,42.4285714285714,165.714285714286,TRUE
2020-04-13,9955,966,1270,499,2841,41,10.305383022774327,0.7606299212598425,25,68,965.285714285714,43.8571428571429,164.714285714286,FALSE
2020-04-14,7360,605,871,524,2909,45,12.165289256198347,0.6946039035591275,90,340,965.142857142857,43.1428571428571,162.571428571429,FALSE
2020-04-15,10958,928,1266,614,3249,39,11.808189655172415,0.7330173775671406,54,209,919.285714285714,44.7142857142857,163,FALSE
2020-04-16,17251,1227,1612,668,3458,41,14.059494702526488,0.761166253101737,58,191,904.857142857143,46.2857142857143,165.571428571429,FALSE
2020-04-17,14191,1112,1419,726,3649,46,12.761690647482014,0.7836504580690627,22,96,877.571428571429,49,188.142857142857,FALSE
2020-04-18,10306,763,1068,748,3745,33,13.507208387942333,0.7144194756554307,26,68,921.428571428571,44.7142857142857,172.285714285714,TRUE
2020-04-19,10716,733,1081,774,3813,45,14.619372442019099,0.6780758556891767,49,187,892.714285714286,45.5714285714286,168.857142857143,TRUE
2020-04-20,11783,775,1054,823,4000,41,15.203870967741935,0.7352941176470589,44,226,897.571428571429,45.7142857142857,166.857142857143,FALSE
2020-04-21,14168,912,1401,867,4226,34,15.535087719298245,0.6509635974304069,60,229,847.857142857143,43.8571428571429,157.714285714286,FALSE
2020-04-22,12637,727,1169,927,4455,26,17.382393397524073,0.6218990590248076,60,185,856.428571428571,42.8571428571429,163.428571428571,FALSE
2020-04-23,21298,1261,2082,987,4640,33,16.889770023790643,0.6056676272814602,59,177,826.571428571429,37.8571428571429,144.285714285714,FALSE
2020-04-24,15579,764,1331,1046,4817,NA,20.391361256544503,0.5740045078888054,9,32,826.714285714286,43.4285714285714,142.285714285714,FALSE
2020-04-25,19342,823,1245,1055,4849,NA,23.501822600243013,0.6610441767068274,19,108,747.142857142857,41.5714285714286,137.714285714286,TRUE
2020-04-26,10260,524,896,1074,4957,NA,19.580152671755727,0.5848214285714286,14,53,718.571428571428,40.1428571428571,135.571428571429,TRUE
2020-04-27,13559,776,1125,1088,5010,NA,17.4729381443299,0.6897777777777778,83,212,683,38.2857142857143,135.714285714286,FALSE
2020-04-28,8263,355,745,1171,5222,NA,23.27605633802817,0.47651006711409394,47,197,677.142857142857,44.1428571428571,156.571428571429,FALSE
2020-04-29,11337,527,980,1218,5419,NA,21.5123339658444,0.5377551020408163,50,170,652.142857142857,43.5714285714286,154,FALSE
2020-04-30,21053,1012,1885,1268,5589,NA,20.803359683794465,0.5368700265251989,46,178,690,44.4285714285714,158.428571428571,FALSE
2020-05-01,18962,723,1304,1314,5767,NA,26.2268326417704,0.5544478527607362,50,178,663.285714285714,42.8571428571429,158.285714285714,FALSE
2020-05-02,14374,648,1148,1364,5945,NA,22.182098765432098,0.5644599303135889,15,90,698.142857142857,45.8571428571428,162.571428571429,TRUE
2020-05-03,17439,789,1203,1379,6035,NA,22.102661596958175,0.655860349127182,20,84,715.857142857143,47.4285714285714,168,TRUE
2020-05-04,23884,589,1132,1399,6119,NA,40.550084889643465,0.5203180212014135,72,211,622.428571428572,50.7142857142857,166,FALSE
2020-05-05,16967,599,1066,1471,6330,NA,28.325542570951587,0.5619136960600375,68,227,631,50.1428571428571,164,FALSE
2020-05-06,16115,651,1246,1539,6557,NA,24.7542242703533,0.5224719101123596,61,208,639.428571428571,48.8571428571429,162.285714285714,FALSE
2020-05-07,19971,358,738,1600,6765,NA,55.78491620111732,0.48509485094850946,69,164,583.571428571429,48,157.857142857143,FALSE
2020-05-08,18928,783,1381,1669,6929,NA,24.173690932311622,0.5669804489500362,46,164,592.285714285714,44,155.428571428571,FALSE
2020-05-09,16009,707,1544,1715,7093,NA,22.643564356435643,0.4579015544041451,6,78,622.857142857143,41.1428571428571,148.285714285714,TRUE
2020-05-10,20017,398,767,1721,7171,NA,50.29396984924623,0.5189048239895697,14,53,644.285714285714,39.2857142857143,140.571428571429,TRUE
2020-05-11,23912,650,1322,1735,7224,44,36.78769230769231,0.491679273827534,44,194,709.142857142857,35.4285714285714,147.142857142857,FALSE
2020-05-12,16509,813,1567,1779,7418,43,20.30627306273063,0.5188257817485641,48,177,669,35.5714285714286,150.428571428571,FALSE
2020-05-13,17798,801,1397,1827,7595,41,22.21972534332085,0.5733715103793844,48,154,735.714285714286,36,151.285714285714,FALSE
2020-05-14,21812,812,1476,1875,7749,46,26.862068965517242,0.5501355013550135,42,210,774,37.4285714285714,154.285714285714,FALSE
2020-05-15,7631,502,733,1917,7959,35,15.201195219123505,0.684856753069577,47,187,770.714285714286,39,153.714285714286,FALSE
2020-05-16,29608,1174,2346,1964,8146,36,25.219761499148213,0.5004262574595055,9,84,723.857142857143,38.4285714285714,155.142857142857,TRUE
2020-05-17,24128,666,1316,1973,8230,41,36.228228228228225,0.506079027355623,24,74,786.142857142857,38.4285714285714,171,TRUE
2020-05-18,33624,627,1097,1997,8304,23,53.6267942583732,0.5715587967183227,55,190,777,39,165.428571428571,FALSE
2020-05-19,77941,485,1048,2052,8494,37,160.70309278350516,0.4627862595419847,44,187,808.142857142857,38.4285714285714,166.285714285714,FALSE
2020-05-20,53428,1237,2380,2096,8681,39,43.19159256265158,0.5197478991596639,48,265,722.285714285714,37.7142857142857,164.428571428571,FALSE
2020-05-21,27261,748,1383,2144,8946,38,36.4451871657754,0.5408532176428055,46,171,769.142857142857,36.4285714285714,160,FALSE
2020-05-22,29826,720,1545,2190,9117,35,41.425,0.46601941747572817,43,193,753.571428571428,29.5714285714286,141.142857142857,FALSE
2020-05-23,18040,573,1064,2233,9310,41,31.483420593368237,0.5385338345864662,4,71,754.428571428571,31.8571428571429,136.857142857143,TRUE
2020-05-24,41565,994,1589,2237,9381,36,41.8158953722334,0.6255506607929515,15,43,666.857142857143,31.4285714285714,121.285714285714,TRUE
2020-05-25,20264,518,1006,2252,9424,36,39.11969111969112,0.5149105367793241,7,58,735.285714285714,31.8571428571429,119.571428571429,FALSE
2020-05-26,15854,491,917,2259,9482,24,32.289205702647656,0.5354416575790621,60,157,742.285714285714,30.5714285714286,114.714285714286,FALSE
2020-05-27,21938,624,1156,2319,9639,39,35.157051282051285,0.5397923875432526,45,156,787.285714285714,31,113,FALSE
2020-05-28,40963,1227,2078,2364,9795,40,33.38467807660962,0.5904716073147257,49,159,748.857142857143,29.7142857142857,115.285714285714,FALSE
2020-05-29,16260,769,1354,2413,9954,28,21.144343302990897,0.5679468242245199,34,159,762.142857142857,38.7142857142857,133,FALSE
2020-05-30,30062,888,1550,2447,10113,37,33.8536036036036,0.5729032258064516,7,59,868.714285714286,35.2857142857143,126.571428571429,TRUE
2020-05-31,26773,725,1222,2454,10172,35,36.928275862068965,0.5932896890343698,6,59,965.857142857143,34.7142857142857,122.428571428571,TRUE
2020-06-01,11304,611,889,2460,10231,30,18.500818330605565,0.6872890888638921,70,182,940,35.2857142857143,120,FALSE
2020-06-02,28689,1237,1998,2530,10413,41,23.192400970088926,0.6191191191191191,36,112,1011.42857142857,34.4285714285714,111.142857142857,FALSE
2020-06-03,38220,1304,2037,2566,10525,38,29.309815950920246,0.6401570937653411,41,127,1089.28571428571,35.1428571428571,110,FALSE
2020-06-04,32472,1046,1710,2607,10652,26,31.043977055449332,0.6116959064327485,53,142,1137.28571428571,36,111,FALSE
2020-06-05,41034,1269,1901,2660,10794,31,32.335697399527184,0.6675433982114677,28,97,1215.42857142857,33.5714285714286,110.285714285714,FALSE
2020-06-06,57082,1433,2132,2688,10891,32,39.83391486392184,0.6721388367729831,12,51,1217.57142857143,33.5714285714286,117.142857142857,TRUE
2020-06-07,27939,1061,1521,2700,10942,27,26.332704995287465,0.6975673898750822,12,66,1270.85714285714,34.4285714285714,131.285714285714,TRUE
2020-06-08,32665,1158,1815,2712,11008,24,28.20811744386874,0.6380165289256199,53,177,1359,31,130.285714285714,FALSE
2020-06-09,23841,1252,1802,2765,11185,33,19.042332268370608,0.6947835738068813,36,160,1516.57142857143,33.8571428571429,140.428571428571,FALSE
2020-06-10,31426,1677,2309,2801,11345,27,18.739415623136555,0.7262884365526202,47,226,1621.85714285714,33,142.857142857143,FALSE
2020-06-11,34567,1663,2296,2848,11571,29,20.785929043896573,0.7243031358885017,29,135,1728.42857142857,32.2857142857143,143.857142857143,FALSE
2020-06-12,39815,2372,3512,2877,11706,34,16.785413153456997,0.6753986332574032,48,168,1959.57142857143,32.5714285714286,145.857142857143,FALSE
2020-06-13,50406,2170,2707,2925,11874,24,23.228571428571428,0.8016254155892132,6,68,2133.85714285714,31,149.142857142857,TRUE
2020-06-14,34324,1807,2305,2931,11942,28,18.99501936912009,0.7839479392624729,7,73,2282,30.4285714285714,143.714285714286,TRUE
2020-06-15,39340,2776,3863,2938,12015,28,14.171469740634006,0.7186124773492104,55,191,2519.71428571429,32.4285714285714,152.571428571429,FALSE
2020-06-16,25233,2472,3160,2993,12206,38,10.20752427184466,0.7822784810126582,25,183,2761,31.2857142857143,152.142857142857,FALSE
2020-06-17,32305,2714,3467,3018,12389,31,11.903095062638172,0.7828093452552639,43,188,3118.28571428571,32.8571428571429,156.428571428571,FALSE
2020-06-18,34834,3327,4066,3061,12577,27,10.47009317703637,0.8182488932611903,43,197,3257.14285714286,33.5714285714286,157.714285714286,FALSE
2020-06-19,34392,4061,4847,3104,12774,19,8.468850036936715,0.8378378378378378,40,165,3412.28571428571,34.8571428571429,158.857142857143,FALSE
2020-06-20,41028,4671,5576,3144,12939,32,8.783558124598587,0.8376972740315638,17,98,3844.71428571429,37.5714285714286,169.285714285714,TRUE
2020-06-21,37169,2779,3338,3161,13037,30,13.374955019791292,0.8325344517675255,12,82,4175.28571428571,38,171.142857142857,TRUE
2020-06-22,37402,3862,4933,3173,13119,38,9.684619368203004,0.7828907358605312,64,199,4976.14285714286,37.4285714285714,173.285714285714,FALSE
2020-06-23,36339,5499,6697,3237,13318,31,6.608292416803055,0.8211139316111692,44,256,5772.57142857143,35.1428571428571,171,FALSE
2020-06-24,59202,5028,5932,3281,13574,18,11.774463007159904,0.8476062036412677,46,201,6330.57142857143,36.8571428571429,172.428571428571,FALSE
2020-06-25,71433,8933,10528,3327,13775,25,7.996529721258256,0.8484992401215805,39,212,6706.28571428571,39.1428571428571,176.428571428571,FALSE
2020-06-26,78345,9636,11254,3366,13987,13,8.130448318804483,0.8562288963923939,24,149,7013.42857142857,38.2857142857143,180.285714285714,FALSE
2020-06-27,72195,8577,10088,3390,14136,13,8.41727876880028,0.850218080888184,29,108,7165.42857142857,38.4285714285714,178.714285714286,TRUE
2020-06-28,41626,5409,6540,3419,14244,3,7.695692364577556,0.8270642201834862,28,110,7812.57142857143,41.4285714285714,196.428571428571,TRUE
2020-06-29,43446,6012,7308,3447,14354,NA,7.226546906187624,0.8226600985221675,58,226,NA,NA,NA,FALSE
2020-06-30,45366,6563,7520,3505,14580,NA,6.912387627609325,0.8727393617021276,45,245,NA,NA,NA,FALSE
2020-07-01,68821,9558,11550,3550,14825,NA,7.200355722954593,0.8275324675324676,67,325,NA,NA,NA,FALSE
2020-07-02,NA,NA,NA,3617,15150,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
